Name,Type,Shape_Length,Shape_Area,Area_acres,Non_wet_sq_meters,Wet_sq_meters,Wet_acres,Wet_percent,Max_Flow,Mean_Flow,Std_Flow,Mean_Slope,Max_Slope,Min_Slope,Std_Slope,aspects_stats.C_MEAN,Aspect_Class,twi_stats.MEAN,solar_wh_m2.MEAN,MAJORITY,solar_class,solar_dsm_stats.AREA,solar_dsm_stats.MEAN,shade_impact_stats.COUNT,shade_impact_stats.AREA,shade_impact_stats.MEAN
Main field,Crop field,654.3011433,20319.73738,0.466476983,1852,34,0.008401576,1.801069688,479,21.28525981,68.03031937,3.737244817,14.14217567,0.082599975,1.979035888,147.5832825,SE,4.956237162,976056.5551,3,High,20324,799538.5922,1886,1886,174327.7279
High tunnel,Farm infrastructure,138.6600086,921.0284651,0.021143904,83,1,0.000247105,1.168682762,387,40.96428571,92.01480813,4.649730868,7.360530853,0.299066007,2.431771944,170.7671192,S,5.358394475,981202.0714,3,High,921,731414.4235,84,84,257241.3393
Greenhouse,Farm infrastructure,102.5541794,620.9265068,0.014254511,58,0,0,0,158,24.94827586,49.26333967,2.556416046,4.667383671,0.698251128,1.082380242,117.1949535,SE,5.603618696,971274.8545,2,Medium,619,870146.5749,58,58,101357.208
Flowers and herbs,Crop field,285.5672784,3437.204938,0.078907368,319,0,0,0,148,6.103448276,17.58771891,2.099213956,5.830307007,0.01631926,1.228017891,52.21961085,NE,4.825885532,967782.0835,2,Medium,3435,861338.8256,319,319,106080.8534
Shed,Farm infrastructure,68.50726176,289.8379126,0.006653763,28,0,0,0,9,1.964285714,2.821880615,1.848235231,4.047947407,0.174413547,1.140548919,96.02349943,E,4.748794871,967900.9777,2,Medium,289,748083.9846,28,28,192056.2054
Secondary field,Crop field,311.8566309,4922.573136,0.113006729,426,30,0.007413155,6.5599234,1129,68.50877193,218.2524591,3.8646671,6.865902424,1.296087027,1.055100216,131.514583,SE,5.281774347,975380.6623,3,High,4922,866249.5082,456,456,109781.2751
Tree row,Crop field,112.7554124,474.7066038,0.010897764,43,0,0,0,177,15.30232558,43.47548621,3.781726649,5.365040779,2.024507046,0.828249141,137.2036323,SE,4.638739802,975804.702,3,High,473,694592.3655,43,43,281646.8067
